Date,Nvidia,Ford,Shell,Alphabet
01/12/2015,32.96,14.09,46.04,758.88
01/01/2016,29.29,11.94,44.13,742.95
01/02/2016,31.36,12.51,45.71,697.77
01/03/2016,35.63,13.5,49.19,744.95
01/04/2016,35.53,13.56,53.35,693.01
01/05/2016,46.72,13.49,48.78,735.72
01/06/2016,47.01,12.57,56,692.1
01/07/2016,57.01,12.66,54.21,768.79
01/08/2016,61.34,12.6,51.69,767.05
01/09/2016,68.52,12.07,52.83,777.29
01/10/2016,71.16,11.74,52.31,784.54
01/11/2016,92.2,11.96,54.17,758.04
01/12/2016,106.74,12.13,57.97,771.82
01/01/2017,109.18,12.36,57.47,795.79
01/02/2017,101.48,12.53,55,823.21
01/03/2017,108.93,11.64,55.83,829.56
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
51.69,,,,
52.83,,,,
11.74,,,,
52.31,,,,
11.96,,,,
54.17,,,,
57.97,,,,
,,,,
01/09/2016,,,,
,,,,
01/10/2016,,,,
01/11/2016,,,,
,,,,
758.04,,,,
771.82,,,,
796.79,,,,
57.47,,,,
823.21,,,,
829.56,,,,
,,,,
12.13,,,,
109.18,,,,
12.36,,,,
101.48,,,,
12.53,,,,
55,,,,
108.93,,,,
11.64,,,,
55.83,,,,
,,,,
01/12/2016,,,,
01/01/2017,,,,
01/02/2017,,,,
01/03/2017,,,,
